O001,CUST001,2024-01-20 09:00,D002
O001,CUST001,2024-01-20 09:00,T001
O001,CUST001,2024-01-20 09:00,D003
O001,CUST001,2024-01-20 09:00,D001
O002,CUST002,2024-01-20 09:05,T002
O002,CUST002,2024-01-20 09:05,D001
O002,CUST002,2024-01-20 09:05,D002
O003,CUST003,2024-01-20 09:10,D001
O003,CUST003,2024-01-20 09:10,C003
O003,CUST003,2024-01-20 09:10,C001
O003,CUST003,2024-01-20 09:10,D002
O004,CUST004,2024-01-20 09:15,C003
O004,CUST004,2024-01-20 09:15,C001
O004,CUST004,2024-01-20 09:15,C002
O004,CUST004,2024-01-20 09:15,D002
O005,CUST005,2024-01-20 09:20,C001
O005,CUST005,2024-01-20 09:20,T002
O006,CUST006,2024-01-20 09:25,C002
O006,CUST006,2024-01-20 09:25,T002
O006,CUST006,2024-01-20 09:25,D003
O006,CUST006,2024-01-20 09:25,T001
O007,CUST007,2024-01-20 09:30,C003
O007,CUST007,2024-01-20 09:30,D001
O007,CUST007,2024-01-20 09:30,C002
O007,CUST007,2024-01-20 09:30,D002
O008,CUST008,2024-01-20 09:35,D001
O008,CUST008,2024-01-20 09:35,D002
O009,CUST009,2024-01-20 09:40,T001
O009,CUST009,2024-01-20 09:40,D001
O009,CUST009,2024-01-20 09:40,C002
O009,CUST009,2024-01-20 09:40,C003
O010,CUST010,2024-01-20 09:45,D001
O010,CUST010,2024-01-20 09:45,T002
